GRCode,short name,clade,genus,trivial,subnames,subnames,taxon_author,date,senior synonym,,,
GR4574,Mon.gecf,graptolite,Monoclimacis,vomerina,geinitzi_cf,*,*,*,99999,,,
GR4531,Mon.arcf,graptolite,Monograptus,arciformis_cf,*,*,Chen_&_Lin,1978,99999,,,
GR4709,Mon.araf,graptolite,Monograptus,argenteus_aff,*,*,_Davies_et_al,1997,99999,,,
GR4494,Mon.araf,graptolite,Monograptus,argenteus_aff,*,*,_Rickards,1970,99999,,,
GR4696,Mon.caaf,graptolite,Monograptus,capillaris,sensu_Loydell_aff,*,_Davies_et_al,1997,99999,,,
GR4691,Mon.caaf,graptolite,Monograptus,capillaris_aff,*,*,_Davies_et_al,1997,99999,,,
GR4698,Mon.claf,graptolite,Monograptus,clintonensis_aff,*,*,_Davies_et_al,1997,99999,,,
GR4707,Mon.coaf,graptolite,Monograptus,convolutus_aff,*,*,_Davies_et_al,1997,99999,,,
GR4720,Mon.craf,graptolite,Monograptus,crispus_aff,*,*,_Davies_et_al,1997,99999,,,
GR4726,Mon.cuaf,graptolite,Monograptus,cultellus_aff,*,*,_Davies_et_al,1997,99999,,,
GR4703,Mon.faaf,graptolite,Monograptus,falx_aff,*,*,_Davies_et_al,1997,99999,,,
GR4861,Mon.flem_cf,graptolite,Monograptus,flemingi_cf,*,*,Nyers_&_Nilsson,1973,99999,,,
GR4579,Mon.flaf,graptolite,Monograptus,flexilis_aff,*,*,_Lenz_&_Melchin,1990,99999,,,
GR4708,Mon.geaf,graptolite,Monograptus,gemmatus_aff,*,*,_Davies_et_al,1997,99999,,,
GR4493,Mon.inaf,graptolite,Monograptus,intermedius_aff,*,*,_Rickards,1970,99999,,,
GR4532,Mon.incf,graptolite,Monograptus,intermedius_cf,*,*,*,*,99999,,,
GR4503,Mon.inaf,graptolite,Monograptus,involutus_aff,*,*,_Rickards,1970,99999,,,
GR4680,Mon.haaf,graptolite,Monograptus,lobiferus,harpago_aff,*,_Davies_et_al,1997,99999,,,
GR4705,Mon.caaf,graptolite,Monograptus,minimus,cautleyensis_aff,*,_Davies_et_al,1997,99999,,,often attrib to Lapworth
GR4582,Mon.mucf,graptolite,Monograptus,mundii_cf,*,*,*,*,99999,,,
GR4562,Mon.noaf,graptolite,Monograptus,nodifer_aff,*,*,_Melchin,1989,99999,,,
GR4683,Mon.peaf,graptolite,Monograptus,pergracilis_aff,*,*,_Davies_et_al,1997,99999,,,
GR4699,Mon.praf,graptolite,Monograptus,pragensis_aff,*,*,_Davies_et_al,1997,99999,,,
GR4734,Mon.praf,graptolite,Monograptus,priodon_aff,*,*,_Cingolani_et_al,2011,99999,,,
GR4580,Mon.riaf,graptolite,Monograptus,riccartonensis_aff,*,*,_Lenz_&_Melchin,1990,99999,,,
GR4722,Mon.saf,graptolite,Monograptus,sartorius_aff,*,*,_Davies_et_al,1997,99999,,,
GR4570,Mon.tuaf,graptolite,Monograptus,tullbergi_aff,*,*,_Melchin,1989,99999,,,
GR4673,Mon.waaf,graptolite,Monograptus,walkerae_aff,*,*,_Davies_et_al,1997,99999,,,
GR3323,Nan.lacf,graptolite,Nanograptus,lapworthi_cf,*,*,Hadding,1915,99999,,,
GR4862,Nan.lap_cf,graptolite,Nanograptus,lapworthi_cf,*,*,Podhalanska,1980,99999,,,
GR3324,Nan.phcf,graptolite,Nanograptus,phylloides_cf,*,*,Elles_&_Wood,1908,99999,,,
GR4863,Nan.phyl_cf,graptolite,Nanograptus,phylloides_cf,*,*,Podhalanska,1980,99999,,,
GR4864,Nem.grac,graptolite,Nemagraptus,gracilis,gracilis cf,*,Podhalanska,1980,99999,,,
GR4865,Nem.sp.,graptolite,Nemagraptus,sp,*,*,*,*,99999,,,
GR4517,Neo.mogp,graptolite,Neodiplograptus,modestus,gp,*,*,*,99999,,,
GR3394,Neo.mocf,graptolite,Neodiplograptus,modestus_cf,*,*,*,*,99999,,,
GR4615,Neo.sicf,graptolite,Neodiplograptus,sinuatus_cf,*,*,(Nicholson),*,99999,,,
GR4916,Neo.sp.,graptolite,Neodiplograptus,sp,*,*,*,*,99999,,,
